name,camera,ram,price,image
موبايل شاومي ريدمي نوت 9S بشريحتين اتصال - شاشة 6.67 بوصة، 128 جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ازرق اورورا,48 ميجا بيكسل + 8 ميجا بيكسل + 5 ميجا بيكسل + 2 ميجا بيكسل,6 جيجابايت,"3,799.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9s-بشريحتين-اتصال-شاشة-6-67-بوصة-128-جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ازرق-اورورا-122963516/i/
موبايل شاومي ريدمي 9C بشريحتين اتصال - 6.53 بوصة، 64 جيجابايت، 3 جيجابايت رام، شبكة الجيل الرابع ال تي اي - برتقالي,13 ميجابكسل,3 جيجابايت,"2,199.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-9c-بشريحتين-اتصال-6-53-بوصة-64-جيجابايت-3-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-برتقالي-131799476/i/
موبايل شاومي ريدمي 9C بشريحتين اتصال - 6.53 بوصة، 32 جيجابايت، 2 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي,13 ميجابكسل,2 جيجابايت,"1,999.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-9c-بشريحتين-اتصال-6-53-بوصة-32-جيجابايت-2-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-131799467/i/
موبايل شاومي ريدمي نوت 9 بشريحتين اتصال - شاشة 6.53 بوصة، 128جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي,48 mp,4 جيجابايت,"3,399.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-بشريحتين-اتصال-شاشة-6-53-بوصة-128جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-131135218/i/
موبايل شاومي ريدمي نوت 9 بشريحتين اتصال - 6.53 بوصة، 128 جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي ميدنايت,48 ميجابكسل,4 جيجابايت,"3,250.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-بشريحتين-اتصال-6-53-بوصة-128-جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-ميدنايت-131089826/i/
موبايل شاومي ريدمي نوت 9 برو بشريحتين اتصال - شاشة 6.67 بوصة، 128جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ابيض جليدي,64 mp,6 جيجابايت,"4,444.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-برو-بشريحتين-اتصال-شاشة-6-67-بوصة-128جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ابيض-جليدي-131134407/i/
موبايل شاومي ريدمي نوت 9 برو بشريحتين اتصال - شاشة 6.67 بوصة، 128جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي انترستيلر,64 mp,6 جيجابايت,"4,499.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-برو-بشريحتين-اتصال-شاشة-6-67-بوصة-128جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-انترستيلر-131134356/i/
شاومي ريدمي نوت 8 بشريحتي اتصال - 64 جيجا، 4 جيجا رام، الجيل الرابع ال تي اي، اسود,48 ميجابكسل + 8 ميجابكسل + 2 ميجابكسل + 2 ميجابكسل,4 جيجابايت,"2,899.00 جنيه",https://egypt.souq.com/eg-ar/شاومي-ريدمي-نوت-8-بشريحتي-اتصال-64-جيجا-4-جيجا-رام-الجيل-الرابع-ال-تي-اي-اسود-78505933/i/
موبايل شاومي ريدمي نوت 9 بشريحتين اتصال - شاشة 6.53 بوصة، 64جيجابايت، 3 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي,48 mp,3 جيجابايت,"3,000.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-بشريحتين-اتصال-شاشة-6-53-بوصة-64جيجابايت-3-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-131135371/i/
شاومي ريدمي نوت 8 بشريحتي اتصال - 64 جيجا، 4 جيجا رام، الجيل الرابع ال تي اي، ازرق,48 ميجابكسل + 8 ميجابكسل + 2 ميجابكسل + 2 ميجابكسل,4 جيجابايت,"2,879.00 جنيه",https://egypt.souq.com/eg-ar/شاومي-ريدمي-نوت-8-بشريحتي-اتصال-64-جيجا-4-جيجا-رام-الجيل-الرابع-ال-تي-اي-ازرق-78505913/i/
موبايل شاومي ريدمي نوت 9 بشريحتين اتصال - شاشة 6.53 بوصة، 128جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - اخضر غابات,48 mp,4 جيجابايت,"3,398.99 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-بشريحتين-اتصال-شاشة-6-53-بوصة-128جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-اخضر-غابات-131135222/i/
موبايل شاومي ريدمي نوت 9 برو بشريحتين اتصال - شاشة 6.67 بوصة، 128 جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - اخضر تروبيكال,64 ميجابكسل,6 جيجابايت,"4,444.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-برو-بشريحتين-اتصال-شاشة-6-67-بوصة-128-جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-اخضر-تروبيكال-131090395/i/
موبايل شاومي ريدمي نوت 9S بشريحتين اتصال - شاشة 6.67 بوصة، 128 جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ابيض جلاسير,48 ميجا بيكسل + 8 ميجا بيكسل + 5 ميجا بيكسل + 2 ميجا بيكسل,6 جيجابايت,"3,717.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9s-بشريحتين-اتصال-شاشة-6-67-بوصة-128-جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ابيض-جلاسير-122963521/i/
موبايل شاومي ريدمي نوت 9 بشريحتين اتصال - 6.53 بوصة، 128 جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ابيض بولار,48 ميجابكسل,4 جيجابايت,"3,398.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-بشريحتين-اتصال-6-53-بوصة-128-جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ابيض-بولار-131089829/i/
موبايل شاومي ريدمي نوت 9 بشريحتين اتصال - شاشة 6.53 بوصة، 64جيجابايت، 3 جيجابايت رام، شبكة الجيل الرابع ال تي اي - اخضر غابات,48 mp,3 جيجابايت,"2,888.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-بشريحتين-اتصال-شاشة-6-53-بوصة-64جيجابايت-3-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-اخضر-غابات-131276050/i/
موبايل شاومي ريدمي نوت 9 بشريحتين اتصال - شاشة 6.53 بوصة، 128جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ابيض قطبي,48 mp,4 جيجابايت,"3,399.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-بشريحتين-اتصال-شاشة-6-53-بوصة-128جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ابيض-قطبي-131135215/i/
موبايل شاومي ريدمي 9C بشريحتين اتصال - 6.53 بوصة، 64 جيجابايت، 3 جيجابايت رام، شبكة الجيل الرابع ال تي اي - رمادي,13 ميجابكسل,3 جيجابايت,"2,333.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-9c-بشريحتين-اتصال-6-53-بوصة-64-جيجابايت-3-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-رمادي-131779028/i/
شاومي ريدمي نوت 5 نسخة ايه اي بشريحتي اتصال - 64 جيجا، 4 جيجا رام، الجيل الرابع ال تي اي، احمر,12 mp + 5 mp,4 جيجابايت,"3,599.00 جنيه",https://egypt.souq.com/eg-ar/شاومي-ريدمي-نوت-5-نسخة-ايه-اي-بشريحتي-اتصال-64-جيجا-4-جيجا-رام-الجيل-الرابع-ال-تي-اي-احمر-36809040/i/
موبايل شاومي ريدمي نوت 9 برو بشريحتين اتصال - شاشة 6.67 بوصة، 128 جيجابايت، 6 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ابيض جلاسير,64 ميجابكسل,6 جيجابايت,"4,388.99 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-برو-بشريحتين-اتصال-شاشة-6-67-بوصة-128-جيجابايت-6-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ابيض-جلاسير-131090388/i/
موبايل شاومي ريدمي نوت 9 بشريحتين اتصال - شاشة 6.53 بوصة، 64جيجابايت، 3 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ابيض قطبي,,,"2,888.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9-بشريحتين-اتصال-شاشة-6-53-بوصة-64جيجابايت-3-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ابيض-قطبي-131135373/i/
شاومى ريدمى نوت 8 - 64 جيجا - 4 رام - ازرق,48,4 جيجابايت,"3,098.00 جنيه",https://egypt.souq.com/eg-ar/شاومى-ريدمى-نوت-8-64-جيجا-4-رام-ازرق-77225389/i/
موبايل شاومي ريدمي نوت 9S بشريحتين اتصال - شاشة 6.67 بوصة، 64 جيجابايت، 4 جيجابايت رام، شبكة الجيل الرابع ال تي اي - ابيض جلاسير,48 ميجا بيكسل + 8 ميجا بيكسل + 5 ميجا بيكسل + 2 ميجا بيكسل,4 جيجابايت,"3,398.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-نوت-9s-بشريحتين-اتصال-شاشة-6-67-بوصة-64-جيجابايت-4-جيجابايت-رام-شبكة-الجيل-الرابع-ال-تي-اي-ابيض-جلاسير-122963506/i/
موبايل شاومي ريدمي 9A بشريحتين اتصال، كاميرا 13 ميجابكسل، شاشة تعمل باللمس 6.53 بوصة، 2 جيجابايت رام، 32 جيجابايت، شبكة الجيل الرابع ال تي اي - ازرق سماوي,13 ميجابكسل,2 جيجابايت,"1,849.00 جنيه",https://egypt.souq.com/eg-ar/موبايل-شاومي-ريدمي-9a-بشريحتين-اتصال-كاميرا-13-ميجابكسل-شاشة-تعمل-باللمس-6-53-بوصة-2-جيجابايت-رام-32-جيجابايت-شبكة-الجيل-الرابع-ال-تي-اي-ازرق-سماوي-131627274/i/
